#,Sentence#,Token,Tag-Mixed,Segment
89,8,khlas,,khlas
90,8,?,,?
91,9,mehtaga,,mehtaga
92,9,had,,had
93,9,yenzl,,yenzl
94,9,m3aya,,m3aya
95,9,kul,,kul
96,9,youm,,youm
97,9,elsubh,,elsubh
98,9,w,,w
99,9,myzh’shh,,myzh’shh
100,9,3ashan,,3ashan
101,9,malesh,,malesh
102,9,nefs,,nefs
103,9,aruh,,aruh
104,9,elgam3a,,elgam3a
105,9,:(,,:(
106,10,m2olna,,m2olna
107,10,akhlas,,akhlas
108,10,elgam3a,,elgam3a
109,10,w,,w
110,10,agyy,,agyy
111,11,mestnya,,mestnya
112,11,bgd,,bgd
113,11,ashoof,,ashoof
114,11,elgam3a,,elgam3a
115,11,kolaha,,kolaha
116,11,fatrana,,fatrana
117,11,f,,f
118,11,ramadan,,ramadan
119,11,bezat,,bezat
120,11,shahin,,shahin
121,11,w,,w
122,11,omar,,omar
123,12,harg3,,harg3
124,12,mn,,mn
125,12,elgam3a,,elgam3a
126,12,3alieko,,3alieko
127,12,inshallah,,inshallah
128,13,elgam3a,,elgam3a
129,13,=,,=
130,13,depression,,depression
131,13,mn8er,,mn8er
132,13,ay,,ay
133,13,sabab,,sabab
134,14,rt,,rt
135,14,-,,-
136,14,ana,,ana
137,14,:,,:
138,14,mama,,mama
139,14,hati,,hati
140,14,flos,,flos
141,14,anzl,,anzl
142,14,agib,,agib
143,14,hdom,,hdom
144,14,3lshan,,3lshan
145,14,elgam3a,,elgam3a
146,14,..\-,,..\-
147,14,mama,,mama
148,14,:,,:
149,14,la2,,la2
150,14,ana,,ana
151,14,gbtlik,,gbtlik
152,14,ta2m,,ta2m
153,14,to7fa,,to7fa
154,14,..,,..
155,14,hahahahahayyyy,,hahahahahayyyy
156,14,!!!!!,,!!!!!
157,15,agml,,agml
158,15,wa7da,,wa7da
159,15,fe,,fe
160,15,el3alm,,el3alm
161,15,💖💖💖💖💖,,💖💖💖💖💖
162,16,rbna,,rbna
163,16,yr7mna,,yr7mna
164,16,br7mto,,br7mto
165,16,p2a,,p2a
166,16,m,,m
167,16,el3alm,,el3alm
168,16,el,,el
169,16,mo2zy,,mo2zy
170,16,da,,da
171,16,🙃,,🙃
172,17,kol,,kol
173,17,sana,,sana
174,17,w,,w
175,17,enty,,enty
176,17,tayba,,tayba
177,17,y,,y
178,17,habbty,,habbty
179,17,rabena,,rabena
180,17,ys3adk,,ys3adk
181,17,yalbee,,yalbee
182,17,w,,w
183,17,ashofk,,ashofk
184,17,ahla,,ahla
185,17,wahda,,wahda
186,17,f,,f
187,17,el3alm,,el3alm
188,17,♥♥♥,,♥♥♥
189,18,a7mmmm,,a7mmmm
190,18,machy,,machy
191,18,machy,,machy
192,18,😂,,😂
193,18,y,,y
194,18,rbbb,,rbbb
195,18,nta,,nta
196,18,el3alm,,el3alm
197,18,ay,,ay
198,18,hagaaaa,,hagaaaa
199,18,",😂😂🤭🤭🤭🤭🤭🤭",,",😂😂🤭🤭🤭🤭🤭🤭"
200,19,ana,,ana
201,19,ghaltna,,ghaltna
202,19,2ni,,2ni
203,19,sm3att,,sm3att
204,19,kalmkk,,kalmkk
205,19,aslnnnn,,aslnnnn
206,19,😂,,😂
207,20,ana,,ana
208,20,3ayza,,3ayza
209,20,klbb,,klbb
210,20,delwa2ti,,delwa2ti
211,20,♥️👀,,♥️👀
212,21,rt,,rt
213,21,ana,,ana
214,21,stressed,,stressed
215,22,ana,,ana
216,22,moot,,moot
217,22,😂😂😂😂😂😂😂😂😂😂😂,,😂😂😂😂😂😂😂😂😂😂😂
218,23,sanya,,sanya
219,23,wahda,,wahda
220,23,ba'a,,ba'a
221,23,aashan,,aashan
222,23,ana,,ana
223,23,mesh,,mesh
224,23,fahma,,fahma
225,23,yaani,,yaani
226,23,howa,,howa
227,23,el,,el
228,23,nas,,nas
229,23,el,,el
230,23,f,,f
231,23,hayaty,,hayaty
232,23,dyh,,dyh
233,23,Bet-hebeny,,Bet-hebeny
234,23,wala,,wala
235,23,nefsohom,,nefsohom
236,23,amoot,,amoot
237,23,wala,,wala
238,23,eih,,eih
239,23,?,,?
240,24,ana,,ana
241,24,hageeb,,hageeb
242,24,sekeenek,,sekeenek
243,24,ma3goon,,ma3goon
244,24,stainless,,stainless
245,24,badal,,badal
246,24,el,,el
247,24,rekheesa,,rekheesa
248,24,el,,el
249,24,3andy,,3andy
250,24,for,,for
251,24,smash,,smash
252,24,burgers,,burgers
253,25,sa7by,,sa7by
254,25,photo,,photo
255,25,station,,station
256,25,we,,we
257,25,ana,,ana
258,25,m3rafsh,,m3rafsh
259,25,♥️🤪,,♥️🤪
260,26,ana,,ana
261,26,hakhod,,hakhod
262,26,break,,break
263,26,el,,el
264,26,sana,,sana
265,26,di,,di
266,26,w,,w
267,26,habda,,habda
268,26,’,,’
269,26,azaker,,azaker
270,26,gamed,,gamed
271,26,awii,,awii
272,26,men,,men
273,26,el,,el
274,26,sna,,sna
275,26,el,,el
276,26,gaya,,gaya
277,27,aa,,aa
278,27,:,,:
279,27,ana,,ana
280,27,ahbd,,ahbd
281,27,😂😂,,😂😂
282,28,ana,,ana
283,28,mshghola,,mshghola
284,28,gedan,,gedan
285,28,elnharda,,elnharda
286,29,ana,,ana
287,29,bhbk,,bhbk
288,29,akter,,akter
289,29,mn,,mn
290,29,ay,,ay
291,29,7aga,,7aga
292,29,f,,f
293,29,eldoniaaa,,eldoniaaa
294,29,🌍❤️❤️❤️❤️,,🌍❤️❤️❤️❤️
295,30,bgd,,bgd
296,30,y,,y
297,30,gana,,gana
298,30,ana,,ana
299,30,bhbk,,bhbk
300,30,awii,,awii
301,30,awiii,,awiii
302,30,bgd,,bgd
303,30,mogard,,mogard
304,30,ma,,ma
305,30,2oltlha,,2oltlha
306,30,any,,any
307,30,mtday2a,,mtday2a
308,30,7awlt,,7awlt
309,30,b,,b
310,30,kol,,kol
311,30,haga,,haga
312,30,t5aleny,,t5aleny
313,30,mabsota,,mabsota
314,30,w,,w
315,30,mafshltsh,,mafshltsh
316,30,f,,f
317,30,anha,,anha
318,30,tfr7nii,,tfr7nii
319,30,wgodk,,wgodk
320,30,bs,,bs
321,30,m3aya,,m3aya
322,30,ana,,ana
323,30,mabsotaa,,mabsotaa
324,30,yarab,,yarab
325,30,dayman,,dayman
326,30,sawa,,sawa
327,30,w,,w
328,30,3omrna,,3omrna
329,30,ma,,ma
330,30,nb3d,,nb3d
331,30,abdan,,abdan
332,30,ba2lna,,ba2lna
333,30,6,,6
334,30,snen,,snen
335,30,n3rf,,n3rf
336,30,b3d,,b3d
337,30,w,,w
338,30,insha’allah,,insha’allah
339,30,mkalmeen,,mkalmeen
340,30,nty,,nty
341,30,msh,,msh
342,30,bs,,bs
343,30,sa7btii,,sa7btii
344,30,nty,,nty
345,30,o5tii,,o5tii
346,30,w,,w
347,30,kol,,kol
348,30,haga,,haga
349,31,ana,,ana
350,31,bhbk,,bhbk
351,31,awii,,awii
352,31,awii,,awii
353,31,walahii,,walahii
354,31,msh,,msh
355,31,3arfa,,3arfa
356,31,a2olk,,a2olk
357,31,eh,,eh
358,31,bgd,,bgd
359,31,💖💖💖🥺🌍,,💖💖💖🥺🌍
360,32,de,,de
361,32,m2sah,,m2sah
362,32,wallahi,,wallahi
363,32,ya,,ya
364,32,bnty,,bnty
365,32,ana,,ana
366,32,3rfa,,3rfa
367,32,😂😂😂,,😂😂😂
368,33,ana,,ana
369,33,bahebek,,bahebek
370,34,haha,,haha
371,34,ana,,ana
372,34,fahma,,fahma
373,34,...,,...
374,34,bs,,bs
375,34,3ash,,3ash
376,34,walahy,,walahy
377,34,leky,,leky
378,34,ha2,,ha2
379,34,brag,,brag
380,34,zay,,zay
381,34,manty,,manty
382,34,3ayza,,3ayza
383,34,😁,,😁
384,35,ana,,ana
385,35,t3bt,,t3bt
386,35,f3ln,,f3ln
387,35,b2a,,b2a
388,35,w,,w
389,35,mb2ash,,mb2ash
390,35,fia,,fia
391,35,7eel,,7eel
392,35,wllahy,,wllahy
393,35,😅..,,😅..
394,36,ana,,ana
395,36,bo2y,,bo2y
396,36,wag3ny,,wag3ny
397,37,ana,,ana
398,37,leih,,leih
399,37,kol,,kol
400,37,ama,,ama
401,37,ashoof,,ashoof
402,37,otta,,otta
403,37,kol,,kol
404,37,elendorphins,,elendorphins
405,37,endorphins,,endorphins
406,37,betetla3,,betetla3
407,37,?,,?
408,38,ana,,ana
409,38,asfa,,asfa
410,38,",",,","
411,38,bahebek,,bahebek
412,38,🥵❤️❤️❤️,,🥵❤️❤️❤️
413,39,w,,w
414,39,ana,,ana
415,39,maslan,,maslan
416,39,hena,,hena
417,39,m3ndesh,,m3ndesh
418,39,ahly,,ahly
419,39,aw,,aw
420,39,araybe,,araybe
421,39,aw,,aw
422,39,as7ab,,as7ab
423,39,mo3yna,,mo3yna
424,39,keda,,keda
425,39,bykon,,bykon
426,39,sahl,,sahl
427,39,aktar,,aktar
428,39,atgnbhom,,atgnbhom
429,39,hena,,hena
430,39,fa,,fa
431,39,keda,,keda
432,39,ashal,,ashal
433,40,ana,,ana
434,40,msh,,msh
435,40,fahem,,fahem
436,40,elly,,elly
437,40,7asal,,7asal
438,40,bs,,bs
439,40,mabsoot,,mabsoot
440,40,🤨💃,,🤨💃
441,41,if,,if
442,41,it,,it
443,41,makes,,makes
444,41,you,,you
445,41,feel,,feel
446,41,any,,any
447,41,better,,better
448,41,ana,,ana
449,41,mara,,mara
450,41,nzelt,,nzelt
451,41,masr,,masr
452,41,(,,(
453,41,lama,,lama
454,41,kont,,kont
455,41,fel,,fel
456,41,khaleeg,,khaleeg
457,41,),,)
458,41,3mla,,3mla
459,41,hesabi,,hesabi
460,41,eni,,eni
461,41,ha3od,,ha3od
462,41,3,,3
463,41,days,,days
464,41,w,,w
465,41,a3at,,a3at
466,41,esbo3ein,,esbo3ein
467,42,ana,,ana
468,42,begad,,begad
469,42,bahebahaaaa,,bahebahaaaa
470,43,rt,,rt
471,43,ana,,ana
472,43,3arfa,,3arfa
473,43,el,,el
474,43,mkan,,mkan
475,43,da,,da
476,43,:),,:)
477,44,la2,,la2
478,44,ta2asrt,,ta2asrt
479,44,ana,,ana
480,44,gamed,,gamed
481,44,wallahy,,wallahy
482,44,😜,,😜
483,45,howa,,howa
484,45,ana,,ana
485,45,el,,el
486,45,sara7ah,,sara7ah
487,45,mashoftesh,,mashoftesh
488,45,7agah,,7agah
489,45,feeha,,feeha
490,45,shatayem,,shatayem
491,45,aw,,aw
492,45,tanamor,,tanamor
493,45,gy,,gy
494,45,mn,,mn
495,45,korh,,korh
496,45,bas,,bas
497,45,bma,,bma
498,45,enek,,enek
499,45,shofty,,shofty
500,45,fa,,fa
501,45,ig,,ig
502,45,you’re,,you’re
503,45,right,,right
504,46,rt,,rt
505,46,ana,,ana
506,46,d5lt,,d5lt
507,46,l,,l
508,46,film,,film
509,46,fl,,fl
510,46,cinema,,cinema
511,46,awl,,awl
512,46,ma,,ma
513,46,nzl,,nzl
514,46,w,,w
515,46,fdlt,,fdlt
516,46,a3yt,,a3yt
517,46,tul,,tul
518,46,l,,l
519,46,film,,film
520,46,w,,w
521,46,5rgt,,5rgt
522,46,mno,,mno
523,46,kmlt,,kmlt
524,46,3yat,,3yat
525,46,🥺,,🥺
526,47,rt,,rt
527,47,retweet,,retweet
528,47,we,,we
529,47,hatklm,,hatklm
530,47,3nk,,3nk
531,47,ana,,ana
532,47,akhoya,,akhoya
533,47,..,,..
534,48,😺✏,,😺✏
535,48,ya,,ya
536,48,ba4a,,ba4a
537,48,mt3d4,,mt3d4
538,48,ana,,ana
539,48,od7oka,,od7oka
540,48,asasn,,asasn
541,48,😂😂,,😂😂
542,49,mesh,,mesh
543,49,ana,,ana
544,49,ya,,ya
545,49,basha,,basha
546,49,😂😂,,😂😂
547,50,howa,,howa
548,50,ana,,ana
549,50,mesh,,mesh
550,50,fahma,,fahma
551,50,leh,,leh
552,50,sa3b,,sa3b
553,50,ye7oto,,ye7oto
554,50,esharat,,esharat
555,50,3and,,3and
556,50,el,,el
557,50,mayadeen,,mayadeen
558,50,el,,el
559,50,maben,,maben
560,50,share3,,share3
561,50,el,,el
562,50,90,,90
563,50,wel,,wel
564,50,rehab,,rehab
565,51,salma,,salma
566,51,twitter,,twitter
567,51,is,,is
568,51,for,,for
569,51,bullying,,bullying
570,51,😂,,😂
571,51,ana,,ana
572,51,3ereftek,,3ereftek
573,51,mn,,mn
574,51,8alaset,,8alaset
575,51,noha,,noha
576,51,w,,w
577,51,sara,,sara
578,51,3aleeky,,3aleeky
579,51,f,,f
580,51,replies,,replies
581,51,one,,one
582,51,of,,of
583,51,my,,my
584,51,tweets,,tweets
585,51,w,,w
586,51,sharekt,,sharekt
587,51,ma3ahom,,ma3ahom
588,51,momentarily,,momentarily
589,51,.,,.
590,51,this,,this
591,51,is,,is
592,51,twitter,,twitter
593,51,",",,","
594,51,you,,you
595,51,are,,are
596,51,not,,not
597,51,new,,new
598,51,ya3ny,,ya3ny
599,51,😂😂,,😂😂
600,52,ehtermy,,ehtermy
601,52,nafsek,,nafsek
602,52,ya,,ya
603,52,nosa,,nosa
604,52,ana,,ana
605,52,bahebo,,bahebo
606,53,ana,,ana
607,53,kol,,kol
608,53,yom,,yom
609,53,hafdl,,hafdl
610,53,malto3a,,malto3a
611,53,lhd,,lhd
612,53,7,,7
613,53,blel,,blel
614,53,fl,,fl
615,53,kolya,,kolya
616,53,?,,?
617,54,yarab,,yarab
618,54,ana,,ana
619,54,kan,,kan
620,54,maly,,maly
621,54,we,,we
622,54,mal,,mal
623,54,el,,el
624,54,ta3leem,,ta3leem
625,55,ana,,ana
626,55,zah'ana,,zah'ana
627,55,bas,,bas
628,55,mesh,,mesh
629,55,adra,,adra
630,55,anzel,,anzel
631,56,hahahahahahahahaha,,hahahahahahahahaha
632,56,..,,..
633,56,ana,,ana
634,56,ba7awel,,ba7awel
635,56,ansa,,ansa
636,56,el,,el
637,56,mawdou3,,mawdou3
638,56,dah,,dah
639,56,😂,,😂
640,57,ana,,ana
641,57,31,,31
642,57,/,,/
643,57,5,,5
644,57,yaani,,yaani
645,57,kda,,kda
646,57,kda,,kda
647,57,ramdan,,ramdan
648,57,alla,,alla
649,57,allah,,allah
650,58,la,,la
651,58,salma,,salma
652,58,enty,,enty
653,58,mesh,,mesh
654,58,fahma,,fahma
655,58,",",,","
656,58,ana,,ana
657,58,seme3t,,seme3t
658,58,kol,,kol
659,58,dah,,dah
660,58,",",,","
661,58,maleesh,,maleesh
662,58,da3wa,,da3wa
663,58,beeha,,beeha
664,58,heya,,heya
665,58,sha5seyan,,sha5seyan
666,58,wala,,wala
667,58,bakraha,,bakraha
668,58,",",,","
669,58,ana,,ana
670,58,ana,,ana
671,58,ra2yee,,ra2yee
672,58,kolo,,kolo
673,58,kan,,kan
674,58,a5er,,a5er
675,58,gomla,,gomla
676,58,bas,,bas
677,58,w,,w
678,58,enaha,,enaha
679,58,betfake,,betfake
680,58,el,,el
681,58,lad8a,,lad8a
682,58,.,,.
683,58,ana,,ana
684,58,sha5seyan,,sha5seyan
685,58,maba7ebahaash,,maba7ebahaash
686,58,3ashan,,3ashan
687,58,heya,,heya
688,58,fe3lan,,fe3lan
689,58,mesh,,mesh
690,58,zareefa,,zareefa
691,58,w,,w
692,58,acts,,acts
693,58,like,,like
694,58,typical,,typical
695,58,tagamo3,,tagamo3
696,58,15,,15
697,58,yo,,yo
698,58,girls,,girls
699,58,elly,,elly
700,58,ma3andhomsh,,ma3andhomsh
701,58,ay,,ay
702,58,-,,-
703,59,meen,,meen
704,59,ana,,ana
705,59,?,,?
706,60,rt,,rt
707,60,retweet,,retweet
708,60,w,,w
709,60,hnrwa2,,hnrwa2
710,60,3leek,,3leek
711,60,ana,,ana
712,60,w,,w
713,60,nas,,nas
714,60,.,,.
715,61,ana,,ana
716,61,blnesba,,blnesba
717,61,ll,,ll
718,61,banat,,banat
719,61,msh,,msh
720,61,btsawar,,btsawar
721,61,aslun,,aslun
722,61,😂,,😂
723,62,at2ball,,at2ball
724,62,eh,,eh
725,62,dolll,,dolll
726,62,kolhom,,kolhom
727,62,f7yaty,,f7yaty
728,62,ana,,ana
729,62,aslln,,aslln
730,62,😂,,😂
731,63,hbibtyy,,hbibtyy
732,63,ya,,ya
733,63,nornor,,nornor
734,63,ana,,ana
735,63,3arfa,,3arfa
736,63,mn,,mn
737,63,gher,,gher
738,63,m,,m
739,63,t2oly,,t2oly
740,63,ya,,ya
741,63,sahbtyyyy,,sahbtyyyy
742,63,❤️❤️😘,,❤️❤️😘
743,64,ana,,ana
744,64,3yza,,3yza
745,64,mn,,mn
746,64,daa,,daa
747,64,😍😍😍😍😍😍😍,,😍😍😍😍😍😍😍
748,65,mashi,,mashi
749,65,ana,,ana
750,65,makontsh,,makontsh
751,65,m5no2,,m5no2
752,65,abl,,abl
753,65,kda,,kda
754,65,zay,,zay
755,65,dlw2te,,dlw2te
756,65,bye,,bye
757,65,.,,.
758,66,ana,,ana
759,66,me7tag,,me7tag
760,66,header,,header
761,67,ana,,ana
762,67,mel7za,,mel7za
763,67,en,,en
764,67,ana,,ana
765,67,3amala,,3amala
766,67,batla2ef,,batla2ef
767,68,seme3t,,seme3t
768,68,ana,,ana
769,68,el,,el
770,68,hewar,,hewar
771,68,dah,,dah
772,68,...,,...
773,68,khali,,khali
774,68,balak,,balak
775,68,ba2a,,ba2a
776,69,hasa,,hasa
777,69,en,,en
778,69,msh,,msh
779,69,ana,,ana
780,69,l,,l
781,69,wahdii,,wahdii
782,70,ana,,ana
783,70,m3,,m3
784,70,category,,category
785,70,1,,1
786,70,msh,,msh
787,70,keda,,keda
788,70,😂📉,,😂📉
789,71,ana,,ana
790,71,ebtadet,,ebtadet
791,71,a5af,,a5af
792,71,😂😂😂,,😂😂😂
793,72,ana,,ana
794,72,anhy,,anhy
795,73,da,,da
796,73,aked,,aked
797,73,ana,,ana
798,73,😂😂😂💔,,😂😂😂💔
799,74,auwa,,auwa
800,74,ana,,ana
801,74,l2et,,l2et
802,74,fe,,fe
803,74,akbal,,akbal
804,74,brdo,,brdo
805,74,😂,,😂
806,75,rt,,rt
807,75,lallallalala,,lallallalala
808,75,ana,,ana
809,75,3gbny,,3gbny
810,75,2nk,,2nk
811,75,3ndk,,3ndk
812,75,salam,,salam
813,75,da5aly,,da5aly
814,75,keda,,keda
815,75,😂😂😂,,😂😂😂
816,75,weh,,weh
817,75,bet3ml,,bet3ml
818,75,retweeete,,retweeete
819,75,3ady,,3ady
820,75,😂😂😂,,😂😂😂
821,76,ana,,ana
822,76,kman,,kman
823,76,3andy,,3andy
824,76,nafs,,nafs
825,76,l,,l
826,76,fakr,,fakr
827,76,",",,","
828,76,lakn,,lakn
829,76,ehna,,ehna
830,76,bnfakar,,bnfakar
831,76,3ashan,,3ashan
832,76,our,,our
833,76,lives,,lives
834,76,arent,,arent
835,76,full,,full
836,76,of,,of
837,76,troubles,,troubles
838,76,if,,if
839,76,it,,it
840,76,was,,was
841,76,we,,we
842,76,wouldve,,wouldve
843,76,cherished,,cherished
844,76,the,,the
845,76,smallest,,smallest
846,76,thing,,thing
847,76,so,,so
848,76,right,,right
849,76,now,,now
850,76,what,,what
851,76,i,,i
852,76,think,,think
853,76,we,,we
854,76,better,,better
855,76,do,,do
856,76,is,,is
857,76,to,,to
858,76,be,,be
859,76,grateful,,grateful
860,76,and,,and
861,76,thats,,thats
862,76,something,,something
863,76,not,,not
864,76,very,,very
865,76,lovely,,lovely
866,76,to,,to
867,76,the,,the
868,76,human,,human
869,76,nature,,nature
870,77,la2,,la2
871,77,mat2olish,,mat2olish
872,77,kedaa,,kedaa
873,77,ana,,ana
874,77,ha3yet,,ha3yet
875,78,rt,,rt
876,78,ana,,ana
877,78,m7dsh,,m7dsh
878,78,byklmne,,byklmne
879,78,leh,,leh
880,79,enta,,enta
881,79,3arf,,3arf
882,79,tba3n,,tba3n
883,79,ana,,ana
884,79,mash8'ola,,mash8'ola
885,79,ad,,ad
886,79,eh,,eh
887,79,bs,,bs
888,79,ha7awel,,ha7awel
889,79,akeed,,akeed
890,80,mt7wresh,,mt7wresh
891,80,hwa,,hwa
892,80,enty,,enty
893,80,btzh2y,,btzh2y
894,80,asln,,asln
895,80,👀😂,,👀😂
896,81,woaahhhh,,woaahhhh
897,81,!,,!
898,81,hwa,,hwa
899,81,ezay,,ezay
900,81,ma3ak,,ma3ak
901,81,telephone,,telephone
902,82,kan,,kan
903,82,fy,,fy
904,82,wahed,,wahed
905,82,rehet,,rehet
906,82,his,,his
907,82,perfume,,perfume
908,82,bezabt,,bezabt
909,82,zy,,zy
910,82,had,,had
911,82,waheshny,,waheshny
912,82,haset,,haset
913,82,eny,,eny
914,82,freht,,freht
915,82,awy,,awy
916,82,bas,,bas
917,82,ha3yat,,ha3yat
918,82,fnafs,,fnafs
919,82,elwa’t,,elwa’t
920,82,3ashan,,3ashan
921,82,msh,,msh
922,82,hwa,,hwa
923,82,you,,you
924,82,feel,,feel
925,82,me,,me
926,82,?,,?
927,83,rt,,rt
928,83,“,,“
929,83,hwa,,hwa
930,83,enty,,enty
931,83,ezay,,ezay
932,83,7ad,,7ad
933,83,ysebk,,ysebk
934,83,?”-,,?”-
935,83,said,,said
936,83,the,,the
937,83,guy,,guy
938,83,that,,that
939,83,left,,left
940,83,you,,you
941,83,later,,later
942,83,on,,on
943,84,hwa,,hwa
944,84,elacc,,elacc
945,84,ethkr,,ethkr
946,84,wla,,wla
947,84,eh,,eh
948,84,😂😂😂👅,,😂😂😂👅
949,85,hwa,,hwa
950,85,bey2ol,,bey2ol
951,85,eh,,eh
952,86,w,,w
953,86,hwa,,hwa
954,86,fen,,fen
955,86,l,,l
956,86,right,,right
957,86,person,,person
958,86,🤷🏻‍♀️🤦🏼‍♀️,,🤷🏻‍♀️🤦🏼‍♀️
959,87,ah,,ah
960,87,hwa,,hwa
961,87,fe,,fe
962,87,ahla,,ahla
963,87,mn,,mn
964,87,keda,,keda
965,87,?❤️,,?❤️
966,88,allah,,allah
967,88,ybarek,,ybarek
968,88,fek,,fek
969,88,ya,,ya
970,88,habeby,,habeby
971,88,.,,.
972,88,hwa,,hwa
973,88,ana,,ana
974,88,kont,,kont
975,88,mstany,,mstany
976,88,el,,el
977,88,natega,,natega
978,88,3shan,,3shan
979,88,anzel,,anzel
980,88,yad,,yad
981,88,?😂,,?😂
982,88,ed3eli,,ed3eli
983,88,akhlas,,akhlas
984,88,3ala,,3ala
985,88,kher,,kher
986,88,w,,w
987,88,rabna,,rabna
988,88,yostorha,,yostorha
989,88,fl,,fl
990,88,graduation,,graduation
991,88,project,,project
992,88,wana,,wana
993,88,habatloko,,habatloko
994,88,fl,,fl
995,88,ahawy,,ahawy
996,89,hwa,,hwa
997,89,elw2at,,elw2at
998,89,bygri,,bygri
999,89,bsor3a,,bsor3a
1000,89,leh,,leh
1001,89,😣🙁🙁🙁,,😣🙁🙁🙁
1002,90,wtf,,wtf
1003,90,hwa,,hwa
1004,90,30,,30
1005,90,dayssssss,,dayssssss
1006,91,hwa,,hwa
1007,91,elmixtape,,elmixtape
1008,91,da,,da
1009,91,beykhlas,,beykhlas
1010,91,emta,,emta
1011,91,ayza,,ayza
1012,91,asma3o,,asma3o
1013,92,hwa,,hwa
1014,92,tabee3y,,tabee3y
1015,92,eny,,eny
1016,92,msh,,msh
1017,92,fahma,,fahma
1018,92,7aga,,7aga
1019,92,kda,,kda
1020,92,?,,?
1021,93,i,,i
1022,93,imagine,,imagine
1023,93,talking,,talking
1024,93,to,,to
1025,93,you,,you
1026,93,in,,in
1027,93,heaven,,heaven
1028,93,ely,,ely
1029,93,hwa,,hwa
1030,93,kont,,kont
1031,93,awza,,awza
1032,93,atkalem,,atkalem
1033,93,fel,,fel
1034,93,donia,,donia
1035,93,walahy,,walahy
1036,93,bas,,bas
1037,93,karamty,,karamty
1038,93,baa,,baa
1039,93,😂😂,,😂😂
1040,94,rt,,rt
1041,94,wlahy,,wlahy
1042,94,y,,y
1043,94,shosho,,shosho
1044,94,l,,l
1045,94,reply,,reply
1046,94,bta3k,,bta3k
1047,94,hwa,,hwa
1048,94,ali,,ali
1049,94,mwtni,,mwtni
1050,94,💔🤦‍♀️😂😂,,💔🤦‍♀️😂😂
1051,95,hwa,,hwa
1052,95,ma7dsh,,ma7dsh
1053,95,bysma3ek,,bysma3ek
1054,95,!,,!
1055,96,mafesh,,mafesh
1056,96,ay,,ay
1057,96,haga,,haga
1058,96,tkhalas,,tkhalas
1059,96,elwahed,,elwahed
1060,96,mn,,mn
1061,96,el,,el
1062,96,nadam,,nadam
1063,96,el,,el
1064,96,hwa,,hwa
1065,96,3aysh,,3aysh
1066,96,feh,,feh
1067,96,da,,da
1068,96,?,,?
1069,97,rt,,rt
1070,97,hwa,,hwa
1071,97,ana,,ana
1072,97,leehh,,leehh
1073,97,ma3ndesh,,ma3ndesh
1074,97,starred,,starred
1075,97,messages,,messages
1076,97,zy,,zy
1077,97,elnas,,elnas
1078,97,de,,de
1079,97,kulha,,kulha
1080,97,?,,?
1081,98,😺✏,,😺✏
1082,98,shokraaaan,,shokraaaan
1083,98,hwa,,hwa
1084,98,eeh,,eeh
1085,98,tayb,,tayb
1086,99,😺✏—,,😺✏—
1087,99,3lshan,,3lshan
1088,99,bthbeeh,,bthbeeh
1089,99,gdn,,gdn
1090,99,w,,w
1091,99,msh,,msh
